,New Book Name,ID,Link,Budget,Gross,Opening,Release Date,Awards List,Book Name,Characters,Genres,Num_reviews,Other editions,Pages,Star votes,Stars,publish_date,Award Count,Num Characters,Star_count_5,Star_count_4,Star_count_3,Star_count_2,Star_count_1,Star_count_total,Genre_Fiction,Genre_Fantasy,Genre_Classics,Genre_Mystery,Genre_Young Adult,Genre_Romance,Genre_Literature,Genre_Historical Fiction,Genre_Thriller,Genre_Childrens,Genre_Science Fiction,Genre_Novels,Genre_Contemporary,Genre_Adventure,Genre_Crime,Genre_Cultural,Genre_Sequential Art,Genre_Historical,Genre_Humor,Genre_Horror,Genre_Paranormal,Genre_Nonfiction,Genre_War,Genre_European Literature,Genre_Biography,Genre_Womens Fiction,Genre_Suspense,Genre_Chick Lit,Genre_Adult,Genre_Autobiography,Genre_History,Time Diff
0,'Salem's Lot,tt0079844,http://www.imdb.com/title/tt0079844/,4000000,,,,"
World Fantasy Award Nominee for Best Novel (1976)
",'Salem's Lot,"[Benjamin Mears, Susan Norton, Matt Burke, Mark Petrie, Father Donald Callahan, Mike Ryerson, Dr James Cody, Richard Throckett Straker, Danny Glick, Larry Crockett, Sonny James, Charles Boone, Loretta Starcher, Weasel Craig, Larry McLeod, Joe Crane, June Petrie, Hal Griffen, Dud Rogers, Cynthia Stowens, Buddy Bascomb, Nolly Gardener, Tookey, Miss Coogan, Royal Snow, Harriet Durham]","[Paranormal, Vampires, Thriller, Horror, Fantasy, Paranormal, Fantasy, Supernatural]",5574.0,200.0,483.0,"[81487, 84672, 54795, 11309, 2628]",3.98,1975-10-17,1.0,26.0,2628.0,11309.0,54795.0,84672.0,81487.0,234891.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,1776,tt0068156,http://www.imdb.com/title/tt0068156/,4000000,6104000,,1972-11-17,,1776,"[George Washington, Thomas Jefferson, John Adams, Benjamin Franklin, George III of the United Kingdom]","[History, Nonfiction, North American Hi..., American History, Historical, War]",5650.0,37.0,386.0,"[45168, 46254, 20715, 4737, 2591]",4.06,2005-12-13,0.0,5.0,2591.0,4737.0,20715.0,46254.0,45168.0,119465.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-12079 days +00:00:00.000000000
2,1984,tt0087803,http://www.imdb.com/title/tt0087803/,,8400000,,1985-03-22,"
Prometheus Hall of Fame Award (1984), Locus Award Nominee for All-Time Best Science Fiction Novel (1987)
",1984,"[Winston Smith, Big Brother, O'Brien, Emmanuel Goldstein, Tom Parsons, Syme, Julia]","[Science Fiction, Dystopia, Literature, Academic, School, Fantasy, Adult, Novels, Philosophy]",39407.0,841.0,328.0,"[825299, 638670, 305479, 81672, 39102]",4.13,1949-06-08,2.0,7.0,39102.0,81672.0,305479.0,638670.0,825299.0,1890222.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13071 days 00:00:00.000000000
3,"20,000 Leagues Under the Sea",tt0046672,http://www.imdb.com/title/tt0046672/,5000000,17440000,,1954-12-23,,"20,000 Leagues Under the Sea",[],"[Classics, Fiction, Science Fiction, Adventure]",89.0,45.0,236.0,"[1080, 1127, 677, 155, 64]",3.97,1948-05-01,0.0,0.0,64.0,155.0,677.0,1127.0,1080.0,3103.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2427 days 00:00:00.000000000
4,2001: A Space Odyssey,tt0062622,http://www.imdb.com/title/tt0062622/,12000000,56954992,,,,2001: A Space Odyssey (Space Odyssey #1),"[Heywood Floyd, HAL 9000, Dave Bowman, Frank Poole]","[Science Fiction, Fiction, Classics]",3339.0,207.0,297.0,"[65320, 62634, 30375, 6056, 1916]",4.1,1968-04-28,0.0,4.0,1916.0,6056.0,30375.0,62634.0,65320.0,166301.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
5,300,tt0416449,http://www.imdb.com/title/tt0416449/,65000000,210614939,70885301.0,2007-03-09,"
Harvey Awards for Best Continuing or Limited Series & Best Colorist (for Lynn Varley) (1999), Will Eisner Comic Industry Awards for Best Publication Design (in 2000 awards), Best Limited Series, Best Writer/Artist (for Frank Miller), Best Coloring (for Lynn Varley) (1999)
",300,"[Leonidas, Xerxes I of Persia]","[Sequential Art, Graphic Novels, Sequential Art, Comics, Historical Fiction, Fiction, Graphic Novels Comics]",663.0,30.0,117.0,"[13065, 12839, 8658, 2245, 870]",3.93,1998-12-13,5.0,2.0,870.0,2245.0,8658.0,12839.0,13065.0,37677.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3008 days 00:00:00.000000000
6,4:50 from Paddington,tt0092497,http://www.imdb.com/title/tt0092497/,,,,,,4:50 from Paddington (Miss Marple #8),"[Lucy Eyelesbarrow, Jane Marple]","[Mystery, Mystery, Crime, Fiction, Classics, Mystery, Detective]",1099.0,211.0,288.0,"[7007, 11047, 7229, 860, 109]",3.91,2057-11-13,0.0,2.0,109.0,860.0,7229.0,11047.0,7007.0,26252.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
7,52 Pick Up,tt0090567,http://www.imdb.com/title/tt0090567/,,5186646,1654835.0,1986-11-07,,52 Pick Up,[],"[Mystery, Crime, Fiction, Mystery, Thriller, Suspense, Mystery, Noir, Thriller, Mystery Thriller, Mystery, Detective, Literary Fiction, Politics]",187.0,29.0,192.0,"[1611, 2446, 1374, 188, 53]",3.95,1974-12-13,0.0,0.0,53.0,188.0,1374.0,2446.0,1611.0,5672.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4347 days 00:00:00.000000000
8,A Beautiful Mind,tt0268978,http://www.imdb.com/title/tt0268978/,58000000,170708996,2501096.0,2002-01-04,"
Royal Society Science Book Prize Nominee for General Prize (1999), Pulitzer Prize Nominee for Biography or Autobiography (1999), Audie Award for Nonfiction, Abridged (2003), National Book Critics Circle Award for Biography/Autobiography (1998)
",A Beautiful Mind,[],"[Biography, Nonfiction, Psychology, Science]",1020.0,57.0,461.0,"[37297, 33854, 15558, 3168, 1828]",4.11,1998-06-12,5.0,0.0,1828.0,3168.0,15558.0,33854.0,37297.0,91705.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1302 days 00:00:00.000000000
9,A Bend in the Road,tt2235532,http://www.imdb.com/title/tt2235532/,,,,,,A Bend in the Road,"[Miles Ryan, Sarah Andrews, Jonah Ryan]","[Romance, Fiction, Womens Fiction, Chick Lit, Contemporary]",3234.0,103.0,341.0,"[43665, 41029, 26407, 5452, 1390]",4.02,2001-12-13,0.0,3.0,1390.0,5452.0,26407.0,41029.0,43665.0,117943.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,
