,Link,New Book Name,Budget,Gross,Opening,Author,Awards List,Book Name,Characters,Genres,Num_reviews,Other editions,Star votes,Stars,Award Count
0,http://www.imdb.com/title/tt0373889/,Harry Potter and the Order of the Phoenix,150000000,292004738,77108414.0,J.K. Rowling,"
Bram Stoker Award for Works for Young Readers (2003), Anthony Award for Young Adult (2004), Mythopoeic Fantasy Award for Children's Literature (2008), Audie Award for Audiobook of the Year (2004), Books I Loved Best Yearly (BILBY) Awards for Older Readers (2004)
...more
Colorado Blue Spruce Young Adult Book Award (2006), Golden Archer Award for Middle/Junior High (2005), Deutscher Jugendliteraturpreis Nominee for Preis der Jugendjury (2004), Carnegie Medal Nominee (2003)
...less ",Harry Potter and the Order of the Phoenix (Harry Potter #5),"[Sirius Black, Draco Malfoy, Ron Weasley, Petunia Dursley, Vernon Dursley, Dudley Dursley, Albus Dumbledore, Severus Snape, Rubeus Hagrid, Lord Voldemort, Minerva McGonagall, Neville Longbottom, Fred Weasley, George Weasley, Percy Weasley, Ginny Weasley, Colin Creevey, Filius Flitwick, Gilderoy Lockhart, Lucius Malfoy, Pomona Sprout, Arthur Weasley, Molly Weasley, Cho Chang, Cornelius Fudge, Remus Lupin, Sybil Trelawney, Stan Shunpike, Bellatrix Lestrange, Alastor Moody, Rita Skeeter, Luna Lovegood, Nymphadora Tonks, Dolores Umbridge, Dobby, Kingsley Shacklebolt, Padma Patil, Parvati Patil, Kreacher, Dean Thomas, Seamus Finnigan, Harry Potter, Hermione Granger]","[Childrens, Novels, Science Fiction Fantasy, Fantasy, Paranormal]",1712530.0,84.0,"[1034870, 465700, 172382, 30373, 9205]",4.45,8.0
1,http://www.imdb.com/title/tt0373889/,Harry Potter and the Order of the Phoenix,150000000,292004738,77108414.0,J.K. Rowling,"
Bram Stoker Award for Works for Young Readers (2003), Anthony Award for Young Adult (2004), Mythopoeic Fantasy Award for Children's Literature (2008), Audie Award for Audiobook of the Year (2004), Books I Loved Best Yearly (BILBY) Awards for Older Readers (2004)
...more
Colorado Blue Spruce Young Adult Book Award (2006), Golden Archer Award for Middle/Junior High (2005), Deutscher Jugendliteraturpreis Nominee for Preis der Jugendjury (2004), Carnegie Medal Nominee (2003)
...less ",Harry Potter and the Order of the Phoenix (Harry Potter #5),"[Sirius Black, Draco Malfoy, Ron Weasley, Petunia Dursley, Vernon Dursley, Dudley Dursley, Albus Dumbledore, Severus Snape, Rubeus Hagrid, Lord Voldemort, Minerva McGonagall, Neville Longbottom, Fred Weasley, George Weasley, Percy Weasley, Ginny Weasley, Colin Creevey, Filius Flitwick, Gilderoy Lockhart, Lucius Malfoy, Pomona Sprout, Arthur Weasley, Molly Weasley, Cho Chang, Cornelius Fudge, Remus Lupin, Sybil Trelawney, Stan Shunpike, Bellatrix Lestrange, Alastor Moody, Rita Skeeter, Luna Lovegood, Nymphadora Tonks, Dolores Umbridge, Dobby, Kingsley Shacklebolt, Padma Patil, Parvati Patil, Kreacher, Dean Thomas, Seamus Finnigan, Harry Potter, Hermione Granger]","[Childrens, Novels, Science Fiction Fantasy, Fantasy, Paranormal]",1712530,84,"[1034870, 465700, 172382, 30373, 9205]",4.45,8.0
2,http://www.imdb.com/title/tt1099212/,Twilight,37000000,191465414,69637740.0,Stephenie Meyer,"
Georgia Peach Book Award (2007), Buxtehuder Bulle (2006), Kentucky Bluegrass Award for 9-12 (2007), Prijs van de Kinder- en Jeugdjury Vlaanderen (2008), Books I Loved Best Yearly (BILBY) Awards for Older Readers (2009)
...more
West Australian Young Readers' Book Award (WAYRBA) for Older Readers (2008), Garden State Book Award for Fiction (Grades 9-12) (2008), South Carolina Book Award for Young Adult Book Award (2008), Grand Canyon Reader Award for Teen Book (2008), Maryland Black-Eyed Susan Book Award for High School (2007), Golden Sower Award for Young Adult (2009), Nevada Young Readers' Award for Young Adult Category  (2007), The Flume: New Hampshire Teen Reader's Choice Award (2007), Pennsylvania Young Readers' Choice Award for Young Adult (2009), Rhode Island Teen Book Award (2007), Evergreen Teen Book Award (2008), Michigan Library Association Thumbs Up! Award Nominee (2006), Teen Read Award Nominee for Best All-Time-Fave (2010), Deutscher Jugendliteraturpreis Nominee for Preis der Jugendjury (2007), Iowa High School Book Award (2008), Abraham Lincoln Award (2008), Literaturpreis der Jury der jungen Leser for Cover (2007), Missouri Gateway Readers Award (2008)
...less ",Twilight (Twilight #1),"[Edward Cullen, Jacob Black, Laurent, Renee, Bella Swan, Billy Black, Esme Cullen, Alice Cullen, Jasper Hale, Carlisle Cullen, Emmett Cullen, Rosalie Hale, Charlie Swan, Mike Newton, Jessica Stanley, Angela Weber, Tyler Crowley]","[Young Adult, Fantasy, Romance, Paranormal, Vampires, Fiction, Fantasy, Paranormal, Romance, Paranormal Romance, Fantasy, Supernatural, Young Adult, Teen, Fantasy, Urban Fantasy]",3624649,229,"[1250062, 808836, 733640, 405523, 426588]",3.57,22.0
3,http://www.imdb.com/title/tt1099212/,Twilight,37000000,191465414,69637740.0,Stephenie Meyer,"
Georgia Peach Book Award (2007), Buxtehuder Bulle (2006), Kentucky Bluegrass Award for 9-12 (2007), Prijs van de Kinder- en Jeugdjury Vlaanderen (2008), Books I Loved Best Yearly (BILBY) Awards for Older Readers (2009)
...more
West Australian Young Readers' Book Award (WAYRBA) for Older Readers (2008), Garden State Book Award for Fiction (Grades 9-12) (2008), South Carolina Book Award for Young Adult Book Award (2008), Grand Canyon Reader Award for Teen Book (2008), Maryland Black-Eyed Susan Book Award for High School (2007), Golden Sower Award for Young Adult (2009), Nevada Young Readers' Award for Young Adult Category  (2007), The Flume: New Hampshire Teen Reader's Choice Award (2007), Pennsylvania Young Readers' Choice Award for Young Adult (2009), Rhode Island Teen Book Award (2007), Evergreen Teen Book Award (2008), Michigan Library Association Thumbs Up! Award Nominee (2006), Teen Read Award Nominee for Best All-Time-Fave (2010), Deutscher Jugendliteraturpreis Nominee for Preis der Jugendjury (2007), Iowa High School Book Award (2008), Abraham Lincoln Award (2008), Literaturpreis der Jury der jungen Leser for Cover (2007), Missouri Gateway Readers Award (2008)
...less ",Twilight (Twilight #1),"[Edward Cullen, Jacob Black, Laurent, Renee, Bella Swan, Billy Black, Esme Cullen, Alice Cullen, Jasper Hale, Carlisle Cullen, Emmett Cullen, Rosalie Hale, Charlie Swan, Mike Newton, Jessica Stanley, Angela Weber, Tyler Crowley]","[Young Adult, Fantasy, Romance, Paranormal, Vampires, Fiction, Fantasy, Paranormal, Romance, Paranormal Romance, Fantasy, Supernatural, Young Adult, Teen, Fantasy, Urban Fantasy]",3624846,229,"[1250122, 808886, 733683, 405541, 426614]",3.57,22.0
4,http://www.imdb.com/title/tt0330373/,Harry Potter and the Goblet of Fire,150000000,290013036,102335066.0,J.K. Rowling,"
Hugo Award for Best Novel (2001), Mythopoeic Fantasy Award for Children's Literature (2008), Publieksprijs voor het Nederlandse Boek (2001), Audie Award for Solo Narration - Male (2001), West Australian Young Readers' Book Award (WAYRBA) for Younger Readers (2001)
...more
Golden Archer Award for Middle/Junior High (2002), Indian Paintbrush Book Award (2002), Deutscher Bücherpreis for Publikumspreis
...less ",Harry Potter and the Goblet of Fire (Harry Potter #4),"[Sirius Black, Draco Malfoy, Ron Weasley, Petunia Dursley, Vernon Dursley, Dudley Dursley, Albus Dumbledore, Severus Snape, Rubeus Hagrid, Lord Voldemort, Minerva McGonagall, Neville Longbottom, Fred Weasley, George Weasley, Percy Weasley, Ginny Weasley, Arthur Weasley, Molly Weasley, Cho Chang, Cornelius Fudge, Sybil Trelawney, Ludo Bagman, Bartemius Crouch, Bartemius Crouch, Jr., Fleur Delacour, Cedric Diggory, Viktor Krum, Bellatrix Lestrange, Alastor Moody, Rita Skeeter, Charlie Weasley, Bill Weasley, Harry Potter, Hermione Granger]","[Fantasy, Young Adult, Fiction]",1703671,300,"[1072715, 461432, 144245, 19130, 6149]",4.51,7.0
5,http://www.imdb.com/title/tt0304141/,Harry Potter and the Prisoner of Azkaban,130000000,249358727,93687367.0,J.K. Rowling,"
Bram Stoker Award for Best Work for Young Readers (1999), Hugo Award Nominee for Best Novel (2000), Locus Award for Best Fantasy Novel (2000), Whitbread Award for Children's Book of the Year (1999), Mythopoeic Fantasy Award for Children's Literature (2008)
...more
Smarties Prize (1999), Books I Loved Best Yearly (BILBY) Awards for Older Readers (2005), Colorado Blue Spruce Young Adult Book Award (2004), Maine Student Book Award (2000), Golden Archer Award for Intermediate (2001), Indian Paintbrush Book Award (2004), Soaring Eagle Book Award (2002), Hotze de Roosprijs (2001)
...less ",Harry Potter and the Prisoner of Azkaban (Harry Potter #3),"[Sirius Black, Draco Malfoy, Ron Weasley, Petunia Dursley, Vernon Dursley, Dudley Dursley, Albus Dumbledore, Severus Snape, Rubeus Hagrid, Minerva McGonagall, Neville Longbottom, Fred Weasley, George Weasley, Percy Weasley, Ginny Weasley, Colin Creevey, Filius Flitwick, Pomona Sprout, Arthur Weasley, Molly Weasley, Cho Chang, Marjorie Dursley, Cornelius Fudge, Remus Lupin, Sybil Trelawney, Peter Pettigrew, Poppy Pomfrey, Stan Shunpike, Oliver Wood, Cedric Diggory, Dean Thomas, Seamus Finnigan, Rolanda Hooch, Katie Bell, Ernie Prang, Harry Potter, Hermione Granger]","[Childrens, Novels, Science Fiction Fantasy, Young Adult, Young Adult Fantasy, Young Adult, Teen, Fantasy, Urban Fantasy, Fantasy, Supernatural, Mystery, Young Adult, Paranormal, Wizards]",1793297,331,"[1134771, 474706, 158173, 19477, 6170]",4.51,12.0
6,http://www.imdb.com/title/tt0241527/,Harry Potter and the Sorcerer's Stone,125000000,317557891,90294621.0,J.K. Rowling,"
Mythopoeic Fantasy Award for Children's Literature (2008), British Book Award for Children's Book of the Year (1998), Smarties Prize (1997), Prijs van de Nederlandse Kinderjury for 6-9 jaar en 10-12 jaar (2002), American Booksellers Book Of The Year  Award for Children (1999)
...more
West Australian Young Readers' Book Award (WAYRBA) for Younger Readers (2000), Rebecca Caudill Young Reader's Book Award (2001), South Carolina Book Award for Junior Book Award (2001), Grand Canyon Reader Award for Teen Book (2000), Charlotte Award (2000), Nene Award (2000), Massachusetts Children's Book Award (2000), Colorado Blue Spruce Young Adult Book Award (2001), Blue Hen Book Award for Chapter Book (2001), Nevada Young Readers' Award for Young Reader Category (2000), Golden Archer Award for Middle/Junior High (2000), Indian Paintbrush Book Award (2000), Hotze de Roosprijs (2002), Kinderboekwinkelprijs (1999), National Book Award (UK) (1997), Parenting Book of the Year Award (1998), North East Teenage Book Award (1999), Washington State Sasquatch Award (2000), Literaturpreis der Jury der jungen Leser for Kinderbuch (1999), Carnegie Medal Nominee (1997)
...less ",Harry Potter and the Sorcerer's Stone (Harry Potter #1),"[Draco Malfoy, Ron Weasley, Petunia Dursley, Vernon Dursley, Dudley Dursley, Albus Dumbledore, Severus Snape, Quirinus Quirrell, Rubeus Hagrid, Lord Voldemort, Minerva McGonagall, Neville Longbottom, Fred Weasley, George Weasley, Percy Weasley, Filius Flitwick, Pomona Sprout, Molly Weasley, Poppy Pomfrey, Oliver Wood, Parvati Patil, Lavender Brown, Dean Thomas, James Potter, Lily Potter, Seamus Finnigan, Garrick Ollivander, Rolanda Hooch, Katie Bell, Harry Potter, Hermione Granger, Dedalus Diggle]","[Fantasy, Young Adult, Fiction, Fantasy, Magic, Childrens, Adventure, Classics, Science Fiction Fantasy, Childrens, Middle Grade, Novels]",4244625,457,"[2618275, 1045016, 421292, 93754, 66288]",4.43,24.0
7,http://www.imdb.com/title/tt0295297/,Harry Potter and the Chamber of Secrets,100000000,261970615,88357488.0,J.K. Rowling,"
Mythopoeic Fantasy Award for Children's Literature (2008), British Book Award (1999), Smarties Prize (1999), Booklist Editors' Choice (1999), Prijs van de Jonge Jury (2002)
...more
Books I Loved Best Yearly (BILBY) Awards for Older Readers (2006), Colorado Blue Spruce Young Adult Book Award (2008), Golden Archer Award for Middle/Junior High (2008)
...less ",Harry Potter and the Chamber of Secrets (Harry Potter #2),"[Draco Malfoy, Ron Weasley, Petunia Dursley, Vernon Dursley, Dudley Dursley, Albus Dumbledore, Severus Snape, Rubeus Hagrid, Lord Voldemort, Minerva McGonagall, Neville Longbottom, Fred Weasley, George Weasley, Percy Weasley, Ginny Weasley, Colin Creevey, Filius Flitwick, Gilderoy Lockhart, Lucius Malfoy, Pomona Sprout, Arthur Weasley, Molly Weasley, Cornelius Fudge, Poppy Pomfrey, Oliver Wood, Dobby, Parvati Patil, Dean Thomas, James Potter, Seamus Finnigan, Rolanda Hooch, Katie Bell, Harry Potter, Hermione Granger]","[Fantasy, Young Adult, Fiction]",1728795,358,"[946524, 504408, 229622, 40576, 7665]",4.35,7.0
8,http://www.imdb.com/title/tt0417741/,Harry Potter and the Half-Blood Prince,250000000,301959197,77835727.0,J.K. Rowling,"
British Book of the Year (2006), Royal Mail Award for Scottish Children's Books for ages 8–12 (2006)
",Harry Potter and the Half-Blood Prince (Harry Potter #6),"[Ron Weasley, Harry Potter, Hermione Granger, Albus Dumbledore]","[Young Adult, Teen, Paranormal, Wizards, Childrens, Juvenile, Romance]",1640328,76,"[1051669, 431126, 130131, 20577, 6825]",4.52,2.0
9,http://www.imdb.com/title/tt0397535/,Memoirs of a Geisha,85000000,57010853,682504.0,Arthur Golden,,Memoirs of a Geisha,"[Nitta Sayuri, Mr. Bekku, Mr. Tanaka, Dr. Crab]","[Fiction, Historical Fiction, Romance, Historical, Cultural, Japan]",1334275,200,"[519698, 487750, 247326, 56928, 22573]",4.07,0.0
